Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),
аппетит,1416,appetite,N.Masc.Inan,A2,"MiP, LM",1,аппетит,Acc.Sing,Пойдем в лес! Заодно аппетит нагуляем.,Let’s go to the forest! We’ll work up an appetite at the same time.,_,"еда, здоровье",
аппетит,1417,appetite,N.Masc.Inan,A2,"MiP, LM",2,аппетиты,Nom.Plur,"Их бизнес только начал приносить прибыль, и аппетиты сразу же выросли.","Their business just started to bring them the first profit, and their appetites grew immediately.",_,"еда, здоровье",
аппетит,1418,appetite,N.Masc.Inan,A2,"MiP, LM",3,аппетитом,Ins.Sing,"Только посмотрите, с каким аппетитом Вася ест суп!",Just look at Vasya eating soup with such appetite!,_,"еда, здоровье",
багаж,1419,luggage,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",1,багажа,Gen.Sing,Лоукостеры обычно продают билеты без багажа. За него придется доплатить отдельно.,Low cost airlines usually sell their tickets with no luggage included. You’ll have to pay extra for it.,_,путешествие,
багаж,1420,luggage,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",2,багаж,Nom.Sing,"Мы прилетели из отпуска домой, а наш багаж — нет. Он потерялся где-то в аэропорту Барселоны, где у нас была стыковка.","We came from vacation, but our luggage didn’t. It was lost somewhere in the Barcelona airport where we had a connection between flights.",_,путешествие,
багаж,1421,luggage,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",3,багажом,Ins.Sing,"Путешествие будет длинным, поэтому мы полетим с багажом. ","The travel will be long, so we'll fly with checked baggage.",_,путешествие,
бег,1422,running,N.Masc.Inan,A2,LM,1,бегу,Loc.Sing,"Я долго собиралась на работу, поэтому завтракать пришлось на бегу.","It took me a long time to get ready for work, so I had to eat breakfast on the run.",_,"свободное время, здоровье",
бег,1423,running,N.Masc.Inan,A2,LM,2,бега,Gen.Sing,Мои ноги стали сильнее от бега по утрам.,My legs became stronger from jogging in the mornings.,_,"свободное время, здоровье",
бег,1424,running,N.Masc.Inan,A2,LM,3,беге,Loc.Sing,"В беге главное — правильная техника, иначе легко получить травму.","The most important thing in running is the right technique, otherwise it’s easy to get injured.",_,"свободное время, здоровье",
бегать,1425,run,V,A2,"Golosa, LM, МН",1,бегали,Imperf.Plur.Past,В июне мы каждое утро бегали вдоль моря.,In June we jogged along the sea every morning.,_,"свободное время, здоровье",
