Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),
автобусный,2835,bus,A,B1,LM,1,автобусной,Loc.Fem.Sing,Мы будем ждать тебя на автобусной остановке.,We will wait for you at the bus stop.,_,"транспорт, путешествие",
автобусный,2836,bus,A,B1,LM,2,автобусного,Gen.Masc.Sing,В работе автобусного маршрута произошли изменения.,There have been changes in the operation of the bus route.,_,"транспорт, путешествие",
автобусный,2837,bus,A,B1,LM,3,автобусная,Nom.Fem.Sing,"Извините, где здесь автобусная остановка?","Excuse me, where is there a bus stop here?",_,"транспорт, путешествие",
автомат,2838,machine,N.Masc.Inan,B1,"MiP, LM",1,автомат,Acc.Sing,_,_,_,политика,
автомат,2839,machine,N.Masc.Inan,B1,"MiP, LM",2,автомата,Gen.Sing,_,_,_,политика,
автомат,2840,machine,N.Masc.Inan,B1,"MiP, LM",3,автоматов,Gen.Plur,_,_,_,политика,
американский,2841,American,A,B1,"Golosa, MiP, LM, МН",1,американский,Nom.Masc.Sing,На прошлой неделе вышел новый американский фильм.,A new American movie was released last week.,_,"описание, политика",
американский,2842,American,A,B1,"Golosa, MiP, LM, МН",2,американского,Gen.Masc.Sing,В нашем журнале вышла статья американского журналиста.,An article by an American journalist was published in our magazine.,_,"описание, политика",
американский,2843,American,A,B1,"Golosa, MiP, LM, МН",3,американских,Gen.Plur,Кого из американских президентов ты знаешь?,Which American Presidents do you know?,_,"описание, политика",
автомобиль,2844,car,N.Masc.Inan,B1,"MiP, LM",1,автомобиля,Gen.Sing,У большинства жителей Москвы нет личного автомобиля.,The majority of Moscow residents don’t have their own cars.,_,транспорт,
автомобиль,2845,car,N.Masc.Inan,B1,"MiP, LM",2,автомобилей,Gen.Plur,Почему здесь так много автомобилей?,Why are there so many cars here?,_,транспорт,
автомобиль,2846,car,N.Masc.Inan,B1,"MiP, LM",3,автомобиль,Nom.Sing,Тебе нравится твой новый автомобиль?,Do you like your new car?,_,транспорт,
академия,2847,academy,N.Fem.Inan,B1,LM,1,академии,Gen.Sing,Среди гостей были ученые из Академии наук.,There were scientists from the Academy of Sciences among the guests.,_,учёба/работа,
академия,2848,academy,N.Fem.Inan,B1,LM,2,академию,Acc.Sing,Он закончил Академию государственной службы два года назад.,He graduated from the Academy of public administration two years ago.,_,учёба/работа,
академия,2849,academy,N.Fem.Inan,B1,LM,3,академия,Nom.Sing,Академия народного хозяйства объявила о наборе студентов.,The Academy of national economy announced the admission of new students.,_,учёба/работа,
альбом,2850,album,N.Masc.Inan,B1,"Golosa, MiP, LM",1,альбома,Gen.Sing,Презентация нового альбома группы состоится в следующем сентябре.,The presentation of the band’s new album will take place next September.,_,"учёба/работа, свободное время",
альбом,2851,album,N.Masc.Inan,B1,"Golosa, MiP, LM",2,альбом,Acc.Sing,Я обещала купить дочке альбом и краски.,I promised my daughter to buy her a sketchbook and paint.,_,"учёба/работа, свободное время",
альбом,2852,album,N.Masc.Inan,B1,"Golosa, MiP, LM",3,альбомы,Acc.Plur,Я ещё не слушал последние альбомы этих групп.,I haven’t heard the latest albums of those groups yet.,_,"учёба/работа, свободное время",
американец,2853,American,N.Masc.Anim,B1,"LM, МН, Поехали",1,американцы,Nom.Plur,В прошлый понедельник американцы сходили на выборы президента.,Last Monday Americans went to elect their president.,_,"люди, политика",
американец,2854,American,N.Masc.Anim,B1,"LM, МН, Поехали",2,американцев,Gen.Plur,Значительная часть американцев путешествует внутри страны.,A considerable portion of Americans travel within the country.,_,"люди, политика",
американец,2855,American,N.Masc.Anim,B1,"LM, МН, Поехали",3,американец,Nom.Sing,Новый муж моей подруги — американец из Бостона.,My friend’s new husband is an American from Boston.,_,"люди, политика",
американка,2856,American,N.Fem.Anim,B1,"LM, МН, Поехали",1,американка,Nom.Sing,Наш преподаватель английского — американка. Она переехала в Москву из Чикаго.,Our English teacher is American. She moved to Moscow from Chicago.,_,"люди, политика",
американка,2857,American,N.Fem.Anim,B1,"LM, МН, Поехали",2,американок,Gen.Plur,На соревнованиях по волейболу сегодня россиянки играют против американок.,"At the volleyball competition today, the Russians are playing against the Americans.",_,"люди, политика",
анализ,2858,analysis,N.Masc.Inan,B1,"Golosa, LM",1,анализа,Gen.Sing,Результаты анализа крови будут готовы завтра.,The blood test results will be ready tomorrow.,_,"учёба/работа, здоровье",
анализ,2859,analysis,N.Masc.Inan,B1,"Golosa, LM",2,анализ,Nom.Sing,Сколько стоит анализ крови в вашей лаборатории?,How much does a blood test cost at your laboratory?,_,"учёба/работа, здоровье",
анализ,2860,analysis,N.Masc.Inan,B1,"Golosa, LM",3,анализу,Dat.Sing,Мы закончили исследование и приступили к анализу материала.,We finished our research and started to analyze the material.,_,"учёба/работа, здоровье",
анализировать,2861,analyze,V,B1,LM,1,анализировать,Inf,"Как анализировать данные, которые мы получили в эксперименте?",How should we analyze the data that we got from the experiment?,_,учёба/работа,
анализировать,2862,analyze,A,B1,LM,2,анализируемых,Gen.Plur,Список анализируемых факторов представлен в таблице.,The list of factors for analysis is presented in the table.,_,учёба/работа,
анализировать,2863,analyze,V,B1,LM,3,анализируя,Pres/Fut,"Анализируя поведение людей, важно учитывать разные факторы.",When analyzing people’s behavior it’s important to consider various factors.,_,учёба/работа,
ангина,2864,sore throat,N.Fem.Inan,B1,"Golosa, LM, Поехали",1,ангина,Nom.Sing,Я не приду на занятия завтра: у меня ангина.,I'm not going to class tomorrow — I have a sore throat.,_,здоровье,
ангина,2865,sore throat,N.Fem.Inan,B1,"Golosa, LM, Поехали",2,ангиной,Ins.Sing,Он целую неделю просидел с ангиной дома.,He spent the whole week at home with a sore throat.,_,здоровье,
переезжать,2866,move,V,B1,"Golosa, MiP, LM",1,переезжая,Pres/Fut,"Переезжая в Санкт-Петербург, Иван продал квартиру в Москве.","When he moved to Saint Petersburg, Ivan sold his apartment in Moscow.",_,жильё,
