Lemma,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
трамвай,tram,N.Masc.Inan,A1,"MiP, МН",1,трамвай,Acc.Sing,Он сел в трамвай номер шесть.,He took tram number six.,_,"транспорт, город"
трамвай,tram,N.Masc.Inan,A1,"MiP, МН",2,трамвая,Gen.Sing,Я хочу стать водителем трамвая.,I want to become a tram driver.,_,"транспорт, город"
трамвай,tram,N.Masc.Inan,A1,"MiP, МН",3,трамваи,Nom.Plur,Слишком поздно. Трамваи не ходят.,It's too late. The trams aren't running.,_,"транспорт, город"
килограмм,"kilogram, kg",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,кг,Gen.Sing,Вам понадобятся 2 кг моркови и немного сливочного масла.,You will need two kilos of carrots and some butter.,_,мера
килограмм,"kilogram, kg",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,килограмм,Nom.Sing,Килограмм брокколи стоит сто рублей.,A kilogram of broccoli costs a hundred rubles.,_,мера
килограмм,"kilogram, kg",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,килограммов,Gen.Plur,Мой рюкзак весит восемь килограммов.,My backpack weights eight kilograms.,_,мера
активный,active,A,A1,МН,1,активных,Gen.Plur,Эта работа подходит для активных людей.,This work is suitable for active people.,_,люди
активный,active,A,A1,МН,2,активную,Acc.Fem.Sing,Аудитория играет активную роль в жизни артиста.,The audience plays an active role in a performert's life.,_,люди
активный,active,A,A1,МН,3,активной,Gen.Fem.Sing,Маша устала от активной жизни.,Masha got tired of her active life.,_,люди
парк,park,N.Masc.Inan,A1,"LM, МН",1,парке,Loc.Sing,Моя мама любит гулять в парке вечером.,My mother likes walking in the park in the evening.,_,"город, свободное время"
парк,park,N.Masc.Inan,A1,"LM, МН",2,парк,Acc.Sing,После школы Анна с девочками пошли в парк.,After school Anna and the girls went to the park.,_,"город, свободное время"
парк,park,N.Masc.Inan,A1,"LM, МН",3,парка,Gen.Sing,Фестиваль Чая пройдёт на территории Парка Горького.,The Tea Fest will take place on the grounds of Gorky Park.,_,"город, свободное время"
бизнесмен,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",1,бизнесменов,Gen.Plur,Новый закон защищает интересы бизнесменов.,The new law protects the interests of businessmen.,_,"люди, профессии"
бизнесмен,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",2,бизнесмен,Nom.Sing,"Бизнесмен должен быть либо честным, либо осторожным.",A businessman has to be either honest or careful.,_,"люди, профессии"
бизнесмен,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",3,бизнесмены,Nom.Plur,Российские бизнесмены протестуют против повышения налогов.,Russian businessmen are protesting against a tax increase.,_,"люди, профессии"
музей,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,музея,Gen.Sing,Работники музея могут посещать выставки бесплатно.,Museum workers can attend exhibitions for free.,_,"город, свободное время"
музей,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,музее,Loc.Sing,В этом музее есть скелет синего кита.,There is a skeleton of a blue whale in this museum.,_,"город, свободное время"
музей,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,музей,Nom.Sing,Музей Москвы был открыт в конце девятнадцатого века.,The Moscow Museum was opened at the end of the nineteenth century.,_,"город, свободное время"
богатый,rich,A,A1,"LM, МН",1,богатый,Nom.Masc.Sing,"Саша – богатый человек, но скромный.",Sasha is a rich man but a modest one.,_,люди
богатый,rich,A,A1,"LM, МН",2,богатых,Gen.Plur,Жизнь в центре города – удовольствие только для богатых людей.,Living in the city centre is a pleasure for rich people only.,_,люди
богатый,rich,A,A1,"LM, МН",3,богатым,Ins.Masc.Sing,Я совсем не хочу быть богатым.,I don't want to be rich at all.,_,люди
экзамен,exam,N.Masc.Inan,A1,"LM, МН",1,экзамен,Acc.Sing,Эта группа не сдаст экзамен по химии.,This group won't pass the chemistry exam.,_,учеба/работа
экзамен,exam,N.Masc.Inan,A1,"LM, МН",2,экзамены,Acc.Plur,Летом мы сдаём экзамены по всем предметам.,In summer we have exams in all subjects. ,_,учеба/работа
экзамен,exam,N.Masc.Inan,A1,"LM, МН",3,экзаменов,Gen.Plur,После экзаменов я собираюсь спать три дня.,After the exams I am going to sleep for three days.,_,учеба/работа
масло,butter/oil,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,маслом,Ins.Sing,Он всегда ест хлеб с маслом на завтрак.,He always has bread and butter for breakfast.,_,еда
масло,butter/oil,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",2,масла,Gen.Sing,Нужно добавить в салат больше оливкового масла.,You need to add more olive oil to the salad.,_,еда
масло,butter/oil,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",3,масло,Nom.Sing,"Для теста вам потребуются сливочное масло, стакан муки и стакан сахара."," For the dough you'll need butter, a cup of flour and a cup of sugar.",_,еда
