Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
аппетит,1416,_,N.Masc.Inan,A2,"MiP, LM",1,аппетит,Acc.Sing,Пойдем в лес! Заодно аппетит нагуляем.,Let’s go to the forest! We’ll work up an appetite at the same time.,_,"еда, здоровье"
аппетит,1417,_,N.Masc.Inan,A2,"MiP, LM",2,аппетиты,Nom.Plur,"Их бизнес только начал приносить прибыль, и аппетиты сразу же выросли.","Their business just started to bring them the first profit, and their appetites grew immediately.",_,"еда, здоровье"
аппетит,1418,_,N.Masc.Inan,A2,"MiP, LM",3,аппетитом,Ins.Sing,"Только посмотрите, с каким аппетитом Вася ест суп!",Just look at Vasya eating soup with such appetite!,_,"еда, здоровье"
багаж,1419,_,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",1,багажа,Gen.Sing,Лоукостеры обычно продают билеты без багажа. За него придется доплатить отдельно.,Low cost airlines usually sell their tickets with no luggage included. You’ll have to pay extra for it.,_,путешествие
багаж,1420,_,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",2,багаж,Nom.Sing,"Мы прилетели из отпуска домой, а наш багаж — нет. Он потерялся где-то в аэропорту Барселоны, где у нас была стыковка.","We came from vacation, but our luggage didn’t. It was lost somewhere in the Barcelona airport where we had a connection between flights.",_,путешествие
багаж,1421,_,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",3,багажом,Ins.Sing,После рождения ребенка я всегда стала путешествовать с багажом.,I started to always travel with luggage after I got a kid.,_,путешествие
бег,1422,_,N.Masc.Inan,A2,LM,1,бегу,Loc.Sing,"Я долго собиралась на работу, поэтому завтракать пришлось на бегу.","It took me long to get ready for work, so I had to have breakfast on my way in a rush.",_,"свободное время, спорт"
бег,1423,_,N.Masc.Inan,A2,LM,2,бега,Gen.Sing,Мои ноги стали сильнее от бега по утрам.,My legs became stronger because of jogging in the mornings.,_,"свободное время, спорт"
бег,1424,_,N.Masc.Inan,A2,LM,3,беге,Loc.Sing,"В беге главное — правильная техника, иначе легко получить травму.","The most important thing in running is a right technique, otherwise it’s easy to get traumatized.",_,"свободное время, спорт"
бегать,1425,_,V,A2,"Golosa, LM, МН",1,бегали,Plur.Past,В июне мы каждое утро бегали вдоль моря.,In June we were jogging along the sea every morning.,_,_
бегать,1426,_,V,A2,"Golosa, LM, МН",2,бегать,Inf,Я привыкла бегать по вечерам после работы.,I’m used to go jogging after work in the evenings.,_,_
бегать,1427,_,V,A2,"Golosa, LM, МН",3,бегала,Fem.Sing.Past,"Я никогда не бегала так быстро, как вчера на тренировке.",I was never running as fast as yesterday at training.,_,_
бежать,1428,_,V,A2,LM,1,бежать,Inf,"Я увидел перекресток и не знал, куда бежать дальше: налево или направо?",I saw a crossroad and didn’t know where to run further: to the left or to the right.,_,_
бежать,1429,_,V,A2,LM,2,бежит,Sing.3.Pres/Fut,"Усейн Болт бежит по пятой дорожке, а Ричард Томпсон — по второй.",Usain Bolt is running on the track 5 and Richard Thompson is running on the track 2.,_,_
бежать,1430,_,V,A2,LM,3,бежал,Masc.Sing.Past,В прошлом месяце он бежал первый в своей жизни полумарафон.,Last month he was running his first marathon in life.,_,_
берег,1431,_,N.Masc.Inan,A2,LM,1,берегу,Loc.Sing,"На берегу реки не росло ничего, кроме двух берез.",There was nothing on the riverside except for two birches.,_,_
берег,1432,_,N.Masc.Inan,A2,LM,2,берег,Acc.Sing,"Наша экскурсия по Темзе закончилась, и мы спустились на берег.",Our excursion on the river Thames was over and we got off to the river bank.,_,_
берег,1433,_,N.Masc.Inan,A2,LM,3,берега,Gen.Sing,"Корабль быстро отплывал от берега, и скоро его совсем перестало быть видно.",The ship was sailing away from the shore and soon it wasn’t possible to see it.,_,_
беречь,1434,_,V,A2,LM,1,беречь,Inf,_,_,_,_
беречь,1435,_,V,A2,LM,2,берёг,Masc.Sing.Past,_,_,_,_
беречь,1436,_,V,A2,LM,3,берегла,Fem.Sing.Past,_,_,_,_
беседовать,1437,_,V,A2,LM,1,беседовали,Plur.Past,_,_,_,_
беседовать,1438,_,V,A2,LM,2,беседуем,Plur.1.Pres/Fut,_,_,_,_
беседовать,1439,_,V,A2,LM,3,беседовать,Inf,_,_,_,_
бесплатный,1440,_,A,A2,LM,1,бесплатного,Gen.Masc.Sing,_,_,_,_
бесплатный,1441,_,A,A2,LM,2,бесплатная,Nom.Fem.Sing,_,_,_,_
бесплатный,1442,_,A,A2,LM,3,бесплатной,Gen.Fem.Sing,_,_,_,_
бесплатный,1443,_,A,A2,Golosa,1,бесплатного,Gen.Masc.Sing,_,_,_,_
бесплатный,1444,_,A,A2,Golosa,2,бесплатная,Nom.Fem.Sing,_,_,_,_
бесплатный,1445,_,A,A2,Golosa,3,бесплатной,Gen.Fem.Sing,_,_,_,_
биография,1446,_,N.Fem.Inan,A2,LM,1,биография,Nom.Sing,_,_,_,_
биография,1447,_,N.Fem.Inan,A2,LM,2,биографии,Gen.Sing,_,_,_,_
биография,1448,_,N.Fem.Inan,A2,LM,3,биографию,Acc.Sing,_,_,_,_
бить,1449,_,V,A2,LM,1,бьёт,Sing.3.Pres/Fut,_,_,_,_
бить,1450,_,V,A2,LM,2,бить,Inf,_,_,_,_
бить,1451,_,V,A2,LM,3,бил,Masc.Sing.Past,_,_,_,_
благодарить,1452,_,V,A2,LM,1,благодарю,Sing.1.Pres/Fut,_,_,_,_
благодарить,1453,_,V,A2,LM,2,благодарит,Sing.3.Pres/Fut,_,_,_,_
благодарить,1454,_,V,A2,LM,3,благодарил,Masc.Sing.Past,_,_,_,_
бог,1455,_,N.Masc.Anim,A2,"MiP, LM",1,бог,Nom.Sing,_,_,_,_
бог,1456,_,N.Masc.Anim,A2,"MiP, LM",2,богу,Dat.Sing,_,_,_,_
бог,1457,_,N.Masc.Anim,A2,"MiP, LM",3,бога,Gen.Sing,_,_,_,_
больница,1458,_,N.Fem.Inan,A2,"Golosa, LM",1,больнице,Loc.Sing,_,_,_,_
больница,1459,_,N.Fem.Inan,A2,"Golosa, LM",2,больницу,Acc.Sing,_,_,_,_
больница,1460,_,N.Fem.Inan,A2,"Golosa, LM",3,больницы,Gen.Sing,_,_,_,_
булочка,1461,_,N.Fem.Inan,A2,"Golosa, MiP, LM, МН",1,булочки,Nom.Plur,_,_,_,_
бумага,1462,_,N.Fem.Inan,A2,LM,1,бумаги,Gen.Sing,_,_,_,_
бумага,1463,_,N.Fem.Inan,A2,LM,2,бумагу,Acc.Sing,_,_,_,_
бумага,1464,_,N.Fem.Inan,A2,LM,3,бумаге,Loc.Sing,_,_,_,_
бутерброд,1465,_,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",1,бутерброды,Acc.Plur,_,_,_,_
бутерброд,1466,_,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",2,бутербродах,Loc.Plur,_,_,_,_
бутерброд,1467,_,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",3,бутербродами,Ins.Plur,_,_,_,_
бутылка,1468,_,N.Fem.Inan,A2,"Golosa, MiP, LM",1,бутылку,Acc.Sing,_,_,_,_
бутылка,1469,_,N.Fem.Inan,A2,"Golosa, MiP, LM",2,бутылки,Gen.Sing,_,_,_,_
бутылка,1470,_,N.Fem.Inan,A2,"Golosa, MiP, LM",3,бутылок,Gen.Plur,_,_,_,_
бывать,1471,_,V,A2,"Golosa, MiP, LM, МН",1,бывает,Sing.3.Pres/Fut,_,_,_,_
бывать,1472,_,V,A2,"Golosa, MiP, LM, МН",2,бывают,Plur.3.Pres/Fut,_,_,_,_
бывать,1473,_,V,A2,"Golosa, MiP, LM, МН",3,бывало,Neut.Sing.Past,_,_,_,_
быстрый,1474,_,A,A2,"Golosa, LM",1,быстрого,Gen.Neut.Sing,_,_,_,_
быстрый,1475,_,A,A2,"Golosa, LM",2,быстрое,Nom.Neut.Sing,_,_,_,_
быстрый,1476,_,A,A2,"Golosa, LM",3,быстрой,Gen.Fem.Sing,_,_,_,_
важный,1477,_,A,A2,"Golosa, LM",1,важно,Neut.Sing,_,_,_,_
важный,1478,_,A,A2,"Golosa, LM",2,важное,Nom.Neut.Sing,_,_,_,_
важный,1479,_,A,A2,"Golosa, LM",3,важную,Acc.Fem.Sing,_,_,_,_
варить,1480,_,V,A2,LM,1,варить,Inf,_,_,_,_
варить,1481,_,V,A2,LM,2,варят,Plur.3.Pres/Fut,_,_,_,_
варить,1482,_,V,A2,LM,3,варили,Plur.Past,_,_,_,_
везти,1483,_,V,A2,"LM, Поехали",1,везёт,Sing.3.Pres/Fut,_,_,_,_
везти,1484,_,V,A2,"LM, Поехали",2,везли,Plur.Past,_,_,_,_
везти,1485,_,V,A2,"LM, Поехали",3,везло,Neut.Sing.Past,_,_,_,_
вера,1486,_,N.Fem.Inan,A2,LM,1,вера,Nom.Sing,_,_,_,_
вера,1487,_,N.Fem.Inan,A2,LM,2,веры,Gen.Sing,_,_,_,_
вера,1488,_,N.Fem.Inan,A2,LM,3,веру,Acc.Sing,_,_,_,_
верить,1489,_,V,A2,"LM, МН",1,верить,Inf,_,_,_,_
верить,1490,_,V,A2,"LM, МН",2,верю,Sing.1.Pres/Fut,_,_,_,_
верить,1491,_,V,A2,"LM, МН",3,верит,Sing.3.Pres/Fut,_,_,_,_
вернуть,1492,_,V,A2,"MiP, LM",1,вернуть,Inf,_,_,_,_
вернуть,1493,_,V,A2,"MiP, LM",2,вернули,Plur.Past,_,_,_,_
вернуть,1494,_,V,A2,"MiP, LM",3,вернула,Fem.Sing.Past,_,_,_,_
вернуться,1495,_,V,A2,"MiP, LM, МН",1,вернулся,Masc.Sing.Past,_,_,_,_
вернуться,1496,_,V,A2,"MiP, LM, МН",2,вернуться,Inf,_,_,_,_
вернуться,1497,_,V,A2,"MiP, LM, МН",3,вернулись,Plur.Past,_,_,_,_
весенний,1498,_,A,A2,LM,1,весеннего,Gen.Masc.Sing,_,_,_,_
весенний,1499,_,A,A2,LM,2,весенний,Nom.Masc.Sing,_,_,_,_
весенний,1500,_,A,A2,LM,3,весеннюю,Acc.Fem.Sing,_,_,_,_
ветер,1501,_,N.Masc.Inan,A2,"Golosa, LM",1,ветер,Nom.Sing,_,_,_,_
ветер,1502,_,N.Masc.Inan,A2,"Golosa, LM",2,ветра,Gen.Sing,_,_,_,_
ветер,1503,_,N.Masc.Inan,A2,"Golosa, LM",3,ветром,Ins.Sing,_,_,_,_
вещь,1504,_,N.Fem.Inan,A2,"Golosa, LM, Поехали",1,вещей,Gen.Plur,_,_,_,_
вещь,1505,_,N.Fem.Inan,A2,"Golosa, LM, Поехали",2,вещи,Acc.Plur,_,_,_,_
вещь,1506,_,N.Fem.Inan,A2,"Golosa, LM, Поехали",3,вещь,Nom.Sing,_,_,_,_
вид,1507,_,N.Masc.Inan,A2,"Golosa, MiP, LM",1,виде,Loc.Sing,_,_,_,_
вид,1508,_,N.Masc.Inan,A2,"Golosa, MiP, LM",2,виду,Loc.Sing,_,_,_,_
вид,1509,_,N.Masc.Inan,A2,"Golosa, MiP, LM",3,видов,Gen.Plur,_,_,_,_
вилка,1510,_,N.Fem.Inan,A2,"LM, МН",1,вилкой,Ins.Sing,_,_,_,_
вилка,1511,_,N.Fem.Inan,A2,"LM, МН",2,вилок,Gen.Plur,_,_,_,_
вилка,1512,_,N.Fem.Inan,A2,"LM, МН",3,вилку,Acc.Sing,_,_,_,_
висеть,1513,_,V,A2,"Golosa, LM, МН",1,висит,Sing.3.Pres/Fut,_,_,_,_
висеть,1514,_,V,A2,"Golosa, LM, МН",2,висел,Masc.Sing.Past,_,_,_,_
висеть,1515,_,V,A2,"Golosa, LM, МН",3,висела,Fem.Sing.Past,_,_,_,_
включать,1516,_,V,A2,"Golosa, LM, МН",1,включает,Sing.3.Pres/Fut,_,_,_,_
включать,1517,_,V,A2,"Golosa, LM, МН",2,включать,Inf,_,_,_,_
включать,1518,_,V,A2,"Golosa, LM, МН",3,включают,Plur.3.Pres/Fut,_,_,_,_
включить,1519,_,V,A2,МН,1,включить,Inf,_,_,_,_
включить,1520,_,A,A2,МН,2,включены,Plur,_,_,_,_
включить,1521,_,V,A2,МН,3,включил,Masc.Sing.Past,_,_,_,_
вкусный,1522,_,A,A2,"Golosa, MiP, LM, МН",1,вкусно,Neut.Sing,_,_,_,_
вкусный,1523,_,A,A2,"Golosa, MiP, LM, МН",2,вкусные,Nom.Plur,_,_,_,_
