Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
короткий,1890,short,A,A2,"Golosa, LM",1,короткие,Inan.Acc.Plur,Катя любит короткие стрижки.,Katya loves short haircuts.,_,"мера, описание"
короткий,1891,short,A,A2,"Golosa, LM",2,короткий,Nom.Masc.Sing,Это короткий путь до моего дома.,This is a short cut to my house.,_,"мера, описание"
короткий,1892,short,A,A2,"Golosa, LM",3,коротких,Gen.Plur,Я написал пару коротких рассказов.,I've written a couple of short stories.,_,"мера, описание"
космонавт,1893,cosmonaut,N.Masc.Anim,A2,LM,1,космонавт,Nom.Sing,Юрий Гагарин - знаменитый советский космонавт.,Yuri Gagarin is the famous Soviet cosmonaut.,_,"люди, учёба/работа"
космонавт,1894,cosmonaut,N.Masc.Anim,A2,LM,2,космонавтов,Gen.Plur,Вчера я был в центре подготовки космонавтов.,Yesterday I was at the cosmonaut training center.,_,"люди, учёба/работа"
космонавт,1895,cosmonaut,N.Masc.Anim,A2,LM,3,космонавта,Acc.Sing,Недавно я видел настоящего космонавта.,Recently I've seen a real cosmonaut.,_,"люди, учёба/работа"
космос,1896,space,N.Masc.Inan,A2,LM,1,космос,Acc.Sing,Люди хотят исследовать космос.,People want to explore space.,_,учёба/работа
космос,1897,space,N.Masc.Inan,A2,LM,2,космоса,Gen.Sing,Виктор - космонавт и видел Землю из космоса.,Victor is a cosmonaut and has seen Earth from space.,_,учёба/работа
космос,1898,space,N.Masc.Inan,A2,LM,3,космосе,Loc.Sing,Многие космонавты работают в открытом космосе.,Many cosmonauts work in outer space.,_,учёба/работа
кровать,1899,bed,N.Fem.Inan,A2,"Golosa, LM",1,кровать,Acc.Sing,Петя пришёл с работы и сразу лёг на кровать.,Petya came home and laid down on the bed at once.,_,жильё
кровать,1900,bed,N.Fem.Inan,A2,"Golosa, LM",2,кровати,Loc.Sing,После пробежки я весь день лежал на кровати.,I laid on the bed all day long after jogging.,_,жильё
кровать,1901,bed,N.Fem.Inan,A2,"Golosa, LM",3,кроватью,Ins.Sing,Где мои тапки? Посмотри под кроватью.,Where are my slippers? Look under the bed.,_,жильё
круглый,1902,round,A,A2,LM,1,круглый,Nom.Masc.Sing,У нас на кухне стоит большой круглый стол.,We have a big round table in the kitchen.,_,описание
круглый,1903,round,A,A2,LM,2,круглые,Nom.Plur,Этот магазин работает круглые сутки.,This store is open around the clock.,_,описание
круглый,1904,round,A,A2,LM,3,круглая,Nom.Fem.Sing,Маша - круглая отличница.,Masha is a straight A level student.,_,описание
культура,1905,culture,N.Fem.Inan,A2,"Golosa, LM",1,культуры,Gen.Sing,Министерство культуры выступает против нового закона.,The Ministry of Culture is against the new law.,_,"свободное время, учёба/работа"
культура,1906,culture,N.Fem.Inan,A2,"Golosa, LM",2,культура,Nom.Sing,Физическая культура - обязательный предмет в школе.,Physical education in a compulsory subject at school.,_,"свободное время, учёба/работа"
культура,1907,culture,N.Fem.Inan,A2,"Golosa, LM",3,культур,Gen.Plur,Диалог культур - это важная часть международных отношений.,The dialogue of cultures is an important part of international relations.,_,"свободное время, учёба/работа"
куртка,1908,jacket,N.Fem.Inan,A2,"Golosa, LM, Поехали",1,куртку,Acc.Sing,"На улице холодно, надень куртку.","It's cold outside, put your jacket on.",_,одежда
куртка,1909,jacket,N.Fem.Inan,A2,"Golosa, LM, Поехали",2,куртках,Loc.Plur,Около клуба стояли парни в кожаных куртках.,The guys in leather jackets stood near the club.,_,одежда
куртка,1910,jacket,N.Fem.Inan,A2,"Golosa, LM, Поехали",3,куртка,Nom.Sing,Эта куртка сделана из натуральной кожи.,This jacket is made of real leather.,_,одежда
лекарство,1911,drug,N.Neut.Inan,A2,"Golosa, LM",1,лекарства,Acc.Plur,Я купила бабушке лекарства.,I've bought drugs for my grandma.,_,здоровье
лекарство,1912,drug,N.Neut.Inan,A2,"Golosa, LM",2,лекарство,Acc.Sing,"Я уже пробовала это лекарство, оно помогло.","I've already tried this drug, it helped.",_,здоровье
лекарство,1913,drug,N.Neut.Inan,A2,"Golosa, LM",3,лекарств,Gen.Plur,Мой дедушка стал лучше видеть после приема лекарств.,My grandpa sees better after taking medicine.,_,здоровье
