Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
краткий,3583,brief,A,B1,LM,1,краткая,Nom.Fem.Sing,Краткая биография может многое сказать о человеке.,A brief biography can tell a lot аbout person.,_,"описание, мера"
краткий,3584,brief,A,B1,LM,2,краткий,Nom.Masc.Sing,В начале курсовой работы приведён краткий обзор литературы.,The term paper begins with a brief literature review.,_,"описание, мера"
краткий,3585,brief,A,B1,LM,3,краткое,Inan.Acc.Neut.Sing,Ты читал краткое содержание этого романа?,Did you read a summary of this novel?,_,"описание, мера"
кредитный,3586,credit,A,B1,"Golosa, MiP, LM",1,кредитных,Gen.Plur,У Пети есть три кредитных карты.,Petya has three credit cards.,_,магазин
кредитный,3587,credit,A,B1,"Golosa, MiP, LM",2,кредитными,Ins.Plur,Здесь можно платить кредитными карточками?,Can we pay by credit card here?,_,магазин
кредитный,3588,credit,A,B1,"Golosa, MiP, LM",3,кредитные,Inan.Acc.Plur,"В этом кафе не принимают кредитные карты, только наличные.","We can't pay by credit card in this cafe, only in cash.",_,магазин
кремль,3589,Kremlin,N.Masc.Inan,B1,"Golosa, LM",1,кремле,Loc.Sing,В Кремле состоялась пресс-конференция президента России.,There was a press-conference with the Russian president at the Kremlin.,_,"путешествие, политика"
кремль,3590,Kremlin,N.Masc.Inan,B1,"Golosa, LM",2,кремль,Nom.Sing,Московский Кремль был построен в пятнадцатом веке,The Moscow Kremlin was built in the 15th century.,_,"путешествие, политика"
кремль,3591,Kremlin,N.Masc.Inan,B1,"Golosa, LM",3,кремля,Gen.Sing,У стен Кремля состоялся парад.,The parade took place by the walls of the Kremlin.,_,"путешествие, политика"
крепкий,3592,strong,A,B1,"Golosa, LM",1,крепкий,Nom.Masc.Sing,Меня очень бодрит крепкий чай.,Strong tea really peps me up.,_,"описание, мера"
крепкий,3593,strong,A,B1,"Golosa, LM",2,крепких,Gen.Plur,В этом баре большой выбор креких напитков.,This bar has an extensive selection of hard liquor.,_,"описание, мера"
крепкий,3594,strong,A,B1,"Golosa, LM",3,крепкими,Ins.Plur,Николай – человек с крепкими нервами.,Nikolay is a person with strong nerves.,_,"описание, мера"
крестьянин,3595,peasant,N.Masc.Anim,B1,LM,1,крестьян,Gen.Plur,Царь Александр Второй освободил крестьян.,Tsar Alexander II liberated the peasants.,_,"люди, учёба/работа"
крестьянин,3596,peasant,N.Masc.Anim,B1,LM,2,крестьяне,Nom.Plur,Крестьяне платили оброк своему барину.,The peasants paid dues to their nobleman.,_,"люди, учёба/работа"
крестьянин,3597,peasant,N.Masc.Anim,B1,LM,3,крестьянам,Dat.Plur,До революции крестьянам приходилось нелегко.,The peasants had hard times before the revolution.,_,"люди, учёба/работа"
кризис,3598,crisis,N.Masc.Inan,B1,LM,1,кризиса,Gen.Sing,Экономисты уже разрабатывают план выхода из кризиса.,The economists are now developing a plan to overcome the crisis.,_,политика
кризис,3599,crisis,N.Masc.Inan,B1,LM,2,кризис,Nom.Sing,В стране наступил демографический кризис.,А demographic crisis has occurred in the country.,_,политика
кризис,3600,crisis,N.Masc.Inan,B1,LM,3,кризисе,Loc.Sing,"Сейчас многие политики говорят о кризисе, но ничего предложить не могут.","Many politicians talk about the crisis now, but no one has any suggestions.",_,политика
крикнуть,3601,shout,V,B1,LM,1,крикнул,Masc.Sing.Past,"Саша крикнул мне вслед, что не хочет со мной больше разговаривать.",Sasha shouted after me that he didn't want to talk to me anymore.,_,общение
крикнуть,3602,shout,V,B1,LM,2,крикнула,Fem.Sing.Past,"Я попытался незаметно уйти, но мама это заметила и крикнула: ""Ты куда?"".","I tried to leave quietly but my mom noticed me and shouted: ""Where are you going?"".",_,общение
крикнуть,3603,shout,V,B1,LM,3,крикнуть,Inf,Вдруг мне захотелось крикнуть от злости.,Suddenly I wanted to cry out in anger.,_,общение
критиковать,3604,criticize,V,B1,LM,1,критиковать,Inf,"Критиковать всегда легче, чем предлагать что-то новое.",It's always easier to criticize than to suggest something new.,_,общение
критиковать,3605,criticize,V,B1,LM,2,критикуют,Plur.3.Pres/Fut,В последнее время граждане чаще критикуют правительство.,The citizens criticize the government more often these days.,_,общение
критиковать,3606,criticize,V,B1,LM,3,критикует,Sing.3.Pres/Fut,"Ваня часто критикует фильмы, которые ему не нравятся.",Vanya often criticizes films that he doesn't like.,_,общение
зачет,3607,examination,N.Masc.Inan,B1,LM,1,зачёт,Acc.Sing,"Я не смогу пойти завтра в кафе, мне нужно сдать зачёт по экономике.","I can't go to the cafe tomorrow, I need to pass my examination in economics. ",_,учёба/работа
зачет,3608,examination,N.Masc.Inan,B1,LM,2,зачёте,Loc.Sing,Какие задачи будут на зачёте?,What kind of tasks will be on the examination?,_,учёба/работа
зачет,3609,examination,N.Masc.Inan,B1,LM,3,зачёта,Gen.Sing,Катя очень расстроилась из-за зачёта.,Katya was very upset over the examination.,_,учёба/работа
кричать,3610,scream,V,B1,"MiP, LM",1,кричит,Sing.3.Pres/Fut,Ты слышишь? Кто-то кричит!,Can you hear it? Someone is screaming!,_,общение
кричать,3611,scream,V,B1,"MiP, LM",2,кричал,Masc.Sing.Past,"В детстве я часто кричал, когда чего-то пугался.",As a child I often screamed when something scared me.,_,общение
кричать,3612,scream,V,B1,"MiP, LM",3,кричать,Inf,"Я думаю, что родители не должны кричать на детей.",I think that parents shouldn't shout at their children.,_,общение
кровь,3613,blood,N.Fem.Inan,B1,"Golosa, LM",1,крови,Gen.Sing,Ты боишься крови?,Are you afraid of blood?,_,здоровье
кровь,3614,blood,N.Fem.Inan,B1,"Golosa, LM",2,кровь,Nom.Sing,У тебя идёт кровь из носа!,You have a nosebleed!,_,здоровье
кровь,3615,blood,N.Fem.Inan,B1,"Golosa, LM",3,кровью,Ins.Sing,Мой отец любит есть стейки с кровью.,My dad loves to eat steak with blood.,_,здоровье
кроссовка,3616,jogging shoe,N.Fem.Inan,B1,LM,1,кроссовок,Gen.Plur,Недавно я купил новую пару кроссовок.,Recently I've bought new pair of jogging shoes.,_,одежда
кроссовка,3617,jogging shoe,N.Fem.Inan,B1,LM,2,кроссовки,Acc.Plur,Я специально выбрал лёгкие кроссовки для бега.,I choose lightweight jogging shoes specifically.,_,одежда
кроссовка,3618,jogging shoe,N.Fem.Inan,B1,LM,3,кроссовках,Loc.Plur,Петя ходит в кроссовках даже зимой.,Petya wears jogging shoes even in winter.,_,одежда
крупный,3619,big,A,B1,LM,1,крупных,Gen.Plur,Сейчас люди не хотят переезжать из крупных городов в более мелкие.,People now don't like to move from big tows to smaller ones.,_,"описание, мера"
крупный,3620,big,A,B1,LM,2,крупные,Nom.Plur,У него будут крупные неприятности.,He will be in big trouble.,_,"описание, мера"
крупный,3621,big,A,B1,LM,3,крупными,Ins.Plur,На афише крупными буквами было написано название спектакля.,The name of the play was written in large letters on the poster.,_,"описание, мера"
крыша,3622,roof,N.Fem.Inan,B1,LM,1,крыши,Gen.Sing,С этой крыши открывается красивый вид на город.,The view of the city from this roof is wonderful.,_,жильё
крыша,3623,roof,N.Fem.Inan,B1,LM,2,крышу,Acc.Sing,Я всегда мечтал залезть на крышу.,I have always dreaming to climb on the roof.,_,жильё
крыша,3624,roof,N.Fem.Inan,B1,LM,3,крыше,Loc.Sing,Давайте устроим пикник на крыше?,Let's have a picnic on the roof?,_,жильё
купаться,3625,bathe,V,B1,"Golosa, MiP, LM",1,купаться,Inf,Я люблю купаться в море.,I like to swim in the sea.,_,свободное время
купаться,3626,bathe,V,B1,"Golosa, MiP, LM",2,купаются,Plur.3.Pres/Fut,"Некоторые люди едут отдыхать на море, но купаются в бассейне у отеля.",Some people go on vacation to the see but all the time swim in the pool near hotel.,_,свободное время
купаться,3627,bathe,V,B1,"Golosa, MiP, LM",3,купался,Masc.Sing.Past,Прошлым летом я купался в Мёртвом море.,Last summer I swam in the Dead Sea.,_,свободное время
лаборатория,3628,"laboratory, lab",N.Fem.Inan,B1,"Golosa, LM",1,лаборатории,Loc.Sing,Мой дедушка был химиком и работал в лаборатории.,My grandpa was a chemist and worked in the lab.,_,учёба/работа
лаборатория,3629,"laboratory, lab",N.Fem.Inan,B1,"Golosa, LM",2,лабораторию,Acc.Sing,Нельзя входить в лабораторию в верхней одежде!,Do not enter the laboratory in outwear!,_,учёба/работа
лаборатория,3630,"laboratory, lab",N.Fem.Inan,B1,"Golosa, LM",3,лабораториях,Loc.Plur,Петя не стал губить свою карьеру в учебных лабораториях и устроился в банк.,Petya decided not to ruin his career in educational labs and found a job in the bank.,_,учёба/работа
лед,3631,ice,N.Masc.Inan,B1,"MiP, LM",1,лёд,Nom.Sing,_,_,_,погода
лед,3632,ice,N.Masc.Inan,B1,"MiP, LM",2,льда,Gen.Sing,_,_,_,погода
лед,3633,ice,N.Masc.Inan,B1,"MiP, LM",3,льду,Dat.Sing,_,_,_,погода
совершенный,3634,perfect,A,B1,LM,1,совершенный,Nom.Masc.Sing,_,_,_,описание
совершенный,3635,perfect,A,B1,LM,2,совершенным,Ins.Masc.Sing,_,_,_,описание
совершенный,3636,perfect,A,B1,LM,3,совершенного,Gen.Masc.Sing,_,_,_,описание
лексика,3637,vocabulary,N.Fem.Inan,B1,LM,1,лексики,Gen.Sing,_,_,_,учёба/работа
лексика,3638,vocabulary,N.Fem.Inan,B1,LM,2,лексике,Loc.Sing,_,_,_,учёба/работа
лексика,3639,vocabulary,N.Fem.Inan,B1,LM,3,лексика,Nom.Sing,_,_,_,учёба/работа
летчик,3640,aviator,N.Masc.Anim,B1,LM,1,лётчиком,Ins.Sing,_,_,_,"люди, учёба/работа"
летчик,3641,aviator,N.Masc.Anim,B1,LM,2,лётчики,Nom.Plur,_,_,_,"люди, учёба/работа"
летчик,3642,aviator,N.Masc.Anim,B1,LM,3,лётчиков,Gen.Plur,_,_,_,"люди, учёба/работа"
лечить,3643,cure,V,B1,LM,1,лечить,Inf,_,_,_,здоровье
лечить,3644,cure,V,B1,LM,2,лечат,Plur.3.Pres/Fut,_,_,_,здоровье
лечить,3645,cure,V,B1,LM,3,лечит,Sing.3.Pres/Fut,_,_,_,здоровье
лист,3646,sheet,N.Masc.Inan,B1,LM,1,листьями,Ins.Plur,_,_,_,учёба/работа
лист,3647,sheet,N.Masc.Inan,B1,LM,2,листьев,Gen.Plur,_,_,_,учёба/работа
лист,3648,sheet,N.Masc.Inan,B1,LM,3,листья,Acc.Plur,_,_,_,учёба/работа
литературный,3649,literary,A,B1,LM,1,литературных,Gen.Plur,_,_,_,"описание, учёба/работа"
литературный,3650,literary,A,B1,LM,2,литературной,Gen.Fem.Sing,_,_,_,"описание, учёба/работа"
литературный,3651,literary,A,B1,LM,3,литературный,Nom.Masc.Sing,_,_,_,"описание, учёба/работа"
личный,3652,private,A,B1,LM,1,личных,Gen.Plur,_,_,_,"люди, описание"
личный,3653,private,A,B1,LM,2,личные,Nom.Plur,_,_,_,"люди, описание"
личный,3654,private,A,B1,LM,3,личное,Nom.Neut.Sing,_,_,_,"люди, описание"
лишний,3655,odd,A,B1,LM,1,лишним,Ins.Neut.Sing,_,_,_,"описание, мера"
лишний,3656,odd,A,B1,LM,2,лишних,Gen.Plur,_,_,_,"описание, мера"
лишний,3657,odd,A,B1,LM,3,лишнего,Gen.Neut.Sing,_,_,_,"описание, мера"
ловить,3658,catch,V,B1,"MiP, LM",1,ловить,Inf,_,_,_,описание
ловить,3659,catch,V,B1,"MiP, LM",2,ловили,Plur.Past,_,_,_,описание
ловить,3660,catch,V,B1,"MiP, LM",3,ловят,Plur.3.Pres/Fut,_,_,_,описание
причастный,3661,interested,A,B1,LM,1,причастны,Plur,_,_,_,"люди, описание"
причастный,3662,interested,A,B1,LM,2,причастен,Masc.Sing,_,_,_,"люди, описание"
причастный,3663,interested,A,B1,LM,3,причастных,Gen.Plur,_,_,_,"люди, описание"
чередование,3664,alternation,N.Neut.Inan,B1,LM,1,чередованием,Ins.Sing,_,_,_,учёба/работа
чередование,3665,alternation,N.Neut.Inan,B1,LM,2,чередование,Nom.Sing,_,_,_,учёба/работа
чередование,3666,alternation,N.Neut.Inan,B1,LM,3,чередования,Gen.Sing,_,_,_,учёба/работа
лодка,3667,boat,N.Fem.Inan,B1,LM,1,лодки,Gen.Sing,_,_,_,"путешествие, свободное время"
лодка,3668,boat,N.Fem.Inan,B1,LM,2,лодка,Nom.Sing,_,_,_,"путешествие, свободное время"
лодка,3669,big,N.Fem.Inan,B1,LM,3,лодку,Acc.Sing,_,_,_,"путешествие, свободное время"
ложиться,3670,lie down,V,B1,"Golosa, LM",1,ложится,Sing.3.Pres/Fut,_,_,_,"люди, описание"
ложиться,3671,lie down,V,B1,"Golosa, LM",2,ложиться,Inf,_,_,_,"люди, описание"
ложиться,3672,lie down,V,B1,"Golosa, LM",3,ложись,Imper.Sing.2,_,_,_,"люди, описание"
ломать,3673,break,V,B1,"Golosa, LM",1,ломать,Inf,_,_,_,"люди, описание"
ломать,3674,break,V,B1,"Golosa, LM",2,ломает,Sing.3.Pres/Fut,_,_,_,"люди, описание"
ломать,3675,break,V,B1,"Golosa, LM",3,ломают,Plur.3.Pres/Fut,_,_,_,"люди, описание"
лошадь,3676,horse,N.Fem.Anim,B1,LM,1,лошадей,Acc.Plur,_,_,_,животные/растения
лошадь,3677,horse,N.Fem.Anim,B1,LM,2,лошадь,Nom.Sing,_,_,_,животные/растения
лошадь,3678,horse,N.Fem.Anim,B1,LM,3,лошади,Nom.Plur,_,_,_,животные/растения
лук,3679,_,N.Masc.Inan,B1,"Golosa, LM, Поехали",1,лука,Gen.Sing,_,_,_,_
лук,3680,_,N.Masc.Inan,B1,"Golosa, LM, Поехали",2,луком,Ins.Sing,_,_,_,_
лук,3681,_,N.Masc.Inan,B1,"Golosa, LM, Поехали",3,лук,Nom.Sing,_,_,_,_
любой,3682,_,A,B1,"Golosa, LM",1,любую,Acc.Fem.Sing,_,_,_,_
любой,3683,_,A,B1,"Golosa, LM",2,любой,Gen.Fem.Sing,_,_,_,_
