approved,,changed by Laura,changed by me,problem,,,,,,,,
Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
белый,469,white,A,A1,"Golosa, MiP, LM, МН, Поехали",1,белые,Nom.Plur,У Саши красивая улыбка и белые зубы.,Sasha has a pretty smile and white teeth.,_,описание
белый,470,white,A,A1,"Golosa, MiP, LM, МН, Поехали",2,белым,Ins.Masc.Sing,Обычно я ем суп с белым хлебом.,Usually I eat soup with white bread.,_,описание
белый,471,white,A,A1,"Golosa, MiP, LM, МН, Поехали",3,белыми,Ins.Plur,Первого сентября на улицах много девочек с белыми бантами.,On September 1 a lot of girls wear white bows outside.,_,описание
гость,472,guest,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,гости,Nom.Plur,"Вечером придут гости, нужно накрыть на стол.","The guests will come in the evening, we need to set the table.",_,люди
гость,473,guest,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,гость,Nom.Sing,Вы всегда желанный гость в нашем доме!,You are always a welcome guest in our house!,_,люди
гость,474,guest,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,гостях,Loc.Plur,"Я сейчас в гостях, перезвоню позже.","I'm visiting someone now, call you later.",_,люди
телефон,475,telephone,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,телефону,Dat.Sing,Маша разговаривает по телефону.,Masha is on the phone now.,_,"люди, общение"
телефон,476,telephone,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,телефон,Acc.Sing,"Возьми телефон, он звонит!","The phone is ringing, take the call!",_,"люди, общение"
телефон,477,telephone,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,телефон,Nom.Sing,Телефон 112 доступен круглосуточно.,The number 112 can be reached around the clock.,_,"люди, общение"
математика,478,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",1,математики,Gen.Sing,Катя работает учительницей математики в школе.,Katya is a mathematics teacher at school.,_,учеба/работа
математика,479,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",2,математика,Nom.Sing,Математика развивает логическое мышление.,Mathematics develops logical thinking.,_,учеба/работа
математика,480,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",3,математике,Dat.Sing,Вася очень старался и получил четыре по математике.,Vasya has worked hard and received a grade of 4 (=B) in math.,_,учеба/работа
фирма,481,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,фирмы,Gen.Sing,Николай - директор этой фирмы.,Nikolay is the director of this company.,_,учеба/работа
фирма,482,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,фирма,Nom.Sing,Фирма Volvo выпустила новый автомобиль.,Volvo released a new automobile.,_,учеба/работа
фирма,483,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фирм,Gen.Plur,В области торговли работает много мелких фирм.,There are a lot of small-businesses in commerce.,_,учеба/работа
писатель,484,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",1,писатель,Nom.Sing,Лев Толстой - знаменитый русский писатель.,Leo Tolstoy is a famous Russian writer.,_,"учеба/работа, люди"
писатель,485,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",2,писателя,Gen.Sing,В кабинете писателя много книг.,There are a lot of books in the writer's office.,_,"учеба/работа, люди"
писатель,486,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",3,писателей,Gen.Plur,Недавно вышел сборник с текстами молодых писателей.,A collection of poems written by young writers came out recently.,_,"учеба/работа, люди"
мальчик,487,boy,N.Masc.Anim,A1,"LM, МН",1,мальчик,Nom.Sing,Мальчик гуляет во дворе.,A boy is walking in the yard.,_,люди
