Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,
продавщица,4333,saleswoman,N.Fem.Anim,B1,"Golosa, MiP, LM",1,продавщица,Nom.Sing,"«К сожалению, булочки с корицей закончились», — ответила мне продавщица.","""Unfortunately we have run out of cinnamon buns"", the saleswoman told me.",_,"люди, магазин",,
продавщица,4334,saleswoman,N.Fem.Anim,B1,"Golosa, MiP, LM",2,продавщицы,Nom.Plur,"В магазине мне пришлось немного подождать, потому что все продавщицы были заняты.",I had to wait a little while in the shop because all the saleswomen were busy.,_,"люди, магазин",,
продавщица,4335,saleswoman,N.Fem.Anim,B1,"Golosa, MiP, LM",3,продавщицей,Ins.Sing,"Я увидела, как покупатели о чём-то ругаются с продавщицей.",I saw that customers were arguing with a saleswoman about something.,_,"люди, магазин",,
проезжать,4336,drive by,V,B1,LM,1,проезжать,Imperf.Inf,"Разбуди меня, когда будем проезжать Казань.",Wake me up when we pass through Kazan'.,_,"транспорт, путешествие",,
проезжать,4337,drive by,V,B1,LM,2,проезжали,Imperf.Plur.Past,По дороге в Германию мы проезжали Польшу.,On the way to Germany were passed through Poland.,_,"транспорт, путешествие",,
проезжать,4338,drive by,V,B1,LM,3,проезжает,Imperf.Sing.3,"Он всегда проезжает Кремль, когда едет на работу.",He always passes through the Kremlin on his way to work.,_,"транспорт, путешествие",,
проехать,4339,drive by,V,B1,"Golosa, LM",1,проехать,Perf.Inf,"Подскажите, пожалуйста, как проехать до Третьяковской галереи.",Tell me please how to get to the Tretyakov gallery.,_,"транспорт, путешествие",,
проехать,4340,drive by,V,B1,"Golosa, LM",2,проехал,Perf.Masc.Sing.Past,Я снова проехал мимо нужного поворота.,I drove past the turn I need to make again.,_,"транспорт, путешествие",,
проехать,4341,drive by,V,B1,"Golosa, LM",3,проехали,Perf.Plur.Past,В первый день путешествия мы проехали всего двести километров.,On the first day of the trip we drove only two hundred kilometers.,_,"транспорт, путешествие",,
проживать,4342,live,A,B1,LM,1,проживающих,Imperf.PresentActiveParticiple.Gen.Plur,"Исследователи узнали у россиян, проживающих за границей, как часто они ездят в Россию.",The researchers asked Russians living abroad how often they travel to Russia.,_,жильё,,
проживать,4343,live,V,B1,LM,2,проживали,Imperf.Plur.Past,Раньше на этой территории проживали германские племена.,Germanic tribes used to live in that territory before.,_,жильё,,
проживать,4344,live,V,B1,LM,3,проживают,Imperf.Plur.3,"Отель, где проживают члены сборной Италии по футболу, взят под охрану.","The hotel, where members of the Italian national soccer team are staying, is being guarded by security forces.",_,жильё,,
видеофильм,4345,movie,N.Masc.Inan,B1,LM,1,видеофильм,Nom.Sing,,_,_,свободное время,It’s not really used anymore,
док,4346,dock,N.Masc.Inan,B1,LM,1,доком,Ins.Sing,"Дом стоял в нижнем конце улицы, рядом с заливом, за доком.","The house was at the bottom of the street, near the bay, behind the dock.",_,"транспорт, путешествие",,
существительное,4347,noun,N.Neut.Inan,B1,LM,1,существительное,Nom.Sing,Существительное в русском языке изменяется по числам и по падежам.,In Russian a noun is inflected for number and case.,_,"учёба/работа, общение",,
наклонение,4348,inclination,N.Neut.Inan,B1,LM,1,наклонением,Ins.Sing,"Такая форма глагола называется повелительным наклонением, или императивом.",This verb form is called the imperative.,_,"учёба/работа, общение","Can you add an example, like Смотрите!",
видеокассета,4349,videotape,N.Fem.Inan,B1,LM,1,видеокассетами,Ins.Plur,Они нашли в гараже огромную коробку со старыми видеокассетами из своего детства.,They found a huge box of old videotapes from their childhood in the garage.,_,свободное время,Is this correct with их? Should it be своего?,
проигрывать,4350,lose,V,B1,"Golosa, LM",1,проигрывал,Imperf.Masc.Sing.Past,С таким счётом Федерер ещё не проигрывал.,Federer hasn’t lost with such a score before.,_,свободное время,,
проигрывать,4351,lose,V,B1,"Golosa, LM",2,проигрывает,Imperf.Sing.3,Он больше всех рискует и чаще всех проигрывает.,He risks more than anybody and loses more often than anybody.,_,свободное время,,
