Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
короткий,1890,short,A,A2,"Golosa, LM",1,короткие,Inan.Acc.Plur,Я люблю носить короткие юбки.,I love to wear short skirts.,_,"мера, описание"
короткий,1891,short,A,A2,"Golosa, LM",2,короткий,Nom.Masc.Sing,Это короткий путь до моего дома.,This is a shortcut to my house.,_,"мера, описание"
короткий,1892,short,A,A2,"Golosa, LM",3,коротких,Gen.Plur,Я написал пару коротких рассказов.,I've written a couple of short stories.,_,"мера, описание"
космонавт,1893,astronaut,N.Masc.Anim,A2,LM,1,космонавт,Nom.Sing,Юрий Гагарин – знаменитый советский космонавт.,Yuri Gagarin is a famous Soviet astronaut.,_,"люди, учёба/работа"
космонавт,1894,astronaut,N.Masc.Anim,A2,LM,2,космонавтов,Gen.Plur,Вчера я был в центре подготовки космонавтов.,Yesterday I was at the astronaut training center.,_,"люди, учёба/работа"
космонавт,1895,astronaut,N.Masc.Anim,A2,LM,3,космонавта,Acc.Sing,Недавно я видел настоящего космонавта.,I saw a real astronaut recently.,_,"люди, учёба/работа"
космос,1896,outer space,N.Masc.Inan,A2,LM,1,космос,Acc.Sing,Люди хотят исследовать космос.,People want to do research on outer space.,_,учёба/работа
космос,1897,outer space,N.Masc.Inan,A2,LM,2,космоса,Gen.Sing,Виктор – космонавт и видел Землю из космоса.,Victor is an astronaut and has seen Earth from space.,_,учёба/работа
космос,1898,outer space,N.Masc.Inan,A2,LM,3,космосе,Loc.Sing,Многие космонавты работают в открытом космосе.,Many astronauts work in outer space.,_,учёба/работа
кровать,1899,bed,N.Fem.Inan,A2,"Golosa, LM",1,кровать,Acc.Sing,Петя пришёл с работы и сразу лёг на кровать.,Petya came home from work and went straight to bed.,_,жильё
кровать,1900,bed,N.Fem.Inan,A2,"Golosa, LM",2,кровати,Loc.Sing,После пробежки я весь день лежал на кровати.,After jogging I lay in bed all day.,_,жильё
кровать,1901,bed,N.Fem.Inan,A2,"Golosa, LM",3,кроватью,Ins.Sing,Где мои тапки? Посмотри под кроватью.,Where are my slippers? Look under the bed.,_,жильё
круглый,1902,round,A,A2,LM,1,круглый,Nom.Masc.Sing,У нас на кухне стоит большой круглый стол.,We have a big round table in the kitchen.,_,описание
круглый,1903,round,A,A2,LM,2,круглые,Nom.Plur,Этот магазин работает круглые сутки.,This store is open around the clock.,_,описание
круглый,1904,round,A,A2,LM,3,круглая,Nom.Fem.Sing,Маша – круглая отличница.,Masha is a straight A student.,_,описание
культура,1905,culture,N.Fem.Inan,A2,"Golosa, LM",1,культуры,Gen.Sing,Министерство культуры выступает против нового закона.,The Ministry of Culture is against the new law.,_,"свободное время, учёба/работа"
культура,1906,culture,N.Fem.Inan,A2,"Golosa, LM",2,культура,Nom.Sing,Физическая культура – обязательный предмет в школе.,Physical education in a compulsory subject at school.,_,"свободное время, учёба/работа"
культура,1907,culture,N.Fem.Inan,A2,"Golosa, LM",3,культур,Gen.Plur,Диалог культур – это важная часть международных отношений.,Intercultural dialogue is an important part of international relations.,_,"свободное время, учёба/работа"
куртка,1908,jacket,N.Fem.Inan,A2,"Golosa, LM, Поехали",1,куртку,Acc.Sing,"На улице холодно, надень куртку.","It's cold outside, put your jacket on.",_,одежда
куртка,1909,jacket,N.Fem.Inan,A2,"Golosa, LM, Поехали",2,куртках,Loc.Plur,Около клуба стояли парни в кожаных куртках.,There were guys in leather jackets standing near the club.,_,одежда
куртка,1910,jacket,N.Fem.Inan,A2,"Golosa, LM, Поехали",3,куртка,Nom.Sing,Эта куртка сделана из натуральной кожи.,This jacket is made of real leather.,_,одежда
лекарство,1911,medicine,N.Neut.Inan,A2,"Golosa, LM",1,лекарства,Acc.Plur,Я купила бабушке лекарства.,I bought medicine for my grandmother.,_,здоровье
лекарство,1912,medicine,N.Neut.Inan,A2,"Golosa, LM",2,лекарство,Acc.Sing,"Я уже пробовала это лекарство, оно помогло.","I've already tried this medicine, it helped.",_,здоровье
лекарство,1913,medicine,N.Neut.Inan,A2,"Golosa, LM",3,лекарств,Gen.Plur,Мой дедушка стал лучше видеть после приема лекарств.,My grandfather sees better after taking medicine.,_,здоровье
лес,1914,forest,N.Masc.Inan,A2,"Golosa, MiP, LM",1,лесу,Loc.Sing,Давайте устроим пикник в лесу?,Shall we have a picnic in the woods?,_,путешествие
лес,1915,forest,N.Masc.Inan,A2,"Golosa, MiP, LM",2,леса,Gen.Sing,Папа вернулся из леса и принёс малину.,Dad came back from the forest and brought some raspberries.,_,путешествие
лес,1916,forest,N.Masc.Inan,A2,"Golosa, MiP, LM",3,лес,Acc.Sing,Завтра мы идём в лес собирать грибы.,Tomorrow we'll go to the forest to pick mushrooms.,_,путешествие
лестница,1917,stairs,N.Fem.Inan,A2,"Golosa, LM",1,лестнице,Dat.Sing,"Лифт не работает, пойдём по лестнице.","The elevator doesn't work, let's take the stairs.",_,жильё
лестница,1918,stairs,N.Fem.Inan,A2,"Golosa, LM",2,лестницы,Gen.Sing,Я буду ждать тебя у лестницы.,I'll be waiting for you by the stairs. ,_,жильё
лестница,1919,stairs,N.Fem.Inan,A2,"Golosa, LM",3,лестницу,Acc.Sing,"Петя открыл дверь, и на лестницу выбежала его собака.",Petya opened the door and his dog ran out onto the staircase.,_,жильё
летать,1920,fly,V,A2,LM,1,летают,Imperf.Plur.3,Над моим домом часто летают самолёты.,Planes often fly over my house.,_,путешествие
летать,1921,fly,V,A2,LM,2,летать,Imperf.Inf,Я боюсь летать на самолёте.,I'm afraid of flying by plane.,_,путешествие
летать,1922,fly,V,A2,LM,3,летал,Imperf.Masc.Sing.Past,Миша никогда не летал на самолёте.,Misha has never flown by plane.,_,путешествие
лететь,1923,fly,V,A2,"Golosa, LM",1,летят,Imperf.Plur.3,Осенью многие птицы летят на юг.,Many birds fly south in the fall.,_,путешествие
лететь,1924,fly,V,A2,"Golosa, LM",2,летит,Imperf.Sing.3,"Смотри, как низко летит самолёт!",Look how low the plane is flying!,_,путешествие
