Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s)
трамвай,943,tram,N.Masc.Inan,A1,"MiP, МН",1,трамвай,Acc.Sing,Он сел в трамвай номер шесть.,He took tram number six.,_,путешествие
трамвай,944,tram,N.Masc.Inan,A1,"MiP, МН",2,трамвая,Gen.Sing,Я хочу стать водителем трамвая.,I want to become a tram driver.,_,путешествие
трамвай,945,tram,N.Masc.Inan,A1,"MiP, МН",3,трамваи,Nom.Plur,Слишком поздно. Трамваи не ходят.,It's too late. The trams aren't running.,_,путешествие
килограмм,946,"kilogram, kg",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,кг,Gen.Sing,Вам понадобятся 2 кг моркови и немного сливочного масла.,You will need two kilos of carrots and some butter.,_,мера
килограмм,947,"kilogram, kg",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,килограмм,Nom.Sing,Килограмм брокколи стоит сто рублей.,A kilogram of broccoli costs a hundred rubles.,_,мера
килограмм,948,"kilogram, kg",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,килограммов,Gen.Plur,Мой рюкзак весит восемь килограммов.,My backpack weights eight kilograms.,_,мера
активный,949,active,A,A1,МН,1,активных,Gen.Plur,Эта работа подходит для активных людей.,This work is suitable for active people.,_,"люди, описание"
активный,950,active,A,A1,МН,2,активную,Acc.Fem.Sing,Аудитория играет активную роль в жизни артиста.,The audience plays an active role in a performert's life.,_,"люди, описание"
активный,951,active,A,A1,МН,3,активной,Gen.Fem.Sing,Маша устала от активной жизни.,Masha got tired of her active life.,_,"люди, описание"
парк,952,park,N.Masc.Inan,A1,"LM, МН",1,парке,Loc.Sing,Моя мама любит гулять в парке вечером.,My mother likes walking in the park in the evening.,_,свободное время
парк,953,park,N.Masc.Inan,A1,"LM, МН",2,парк,Acc.Sing,После школы Анна с девочками пошли в парк.,After school Anna and the girls went to the park.,_,свободное время
парк,954,park,N.Masc.Inan,A1,"LM, МН",3,парка,Gen.Sing,Фестиваль Чая пройдёт на территории Парка Горького.,The Tea Festival will take place on the grounds of Gorky Park.,_,свободное время
бизнесмен,955,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",1,бизнесменов,Gen.Plur,Новый закон защищает интересы бизнесменов.,The new law protects the interests of businessmen.,_,"люди, учеба/работа"
бизнесмен,956,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",2,бизнесмен,Nom.Sing,"Бизнесмен должен быть либо честным, либо осторожным.",A businessman has to be either honest or careful.,_,"люди, учеба/работа"
бизнесмен,957,businessman,N.Masc.Anim,A1,"Golosa, MiP, LM, МН, Поехали",3,бизнесмены,Nom.Plur,Российские бизнесмены протестуют против повышения налогов.,Russian businessmen are protesting against a tax increase.,_,"люди, учеба/работа"
музей,958,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,музея,Gen.Sing,Работники музея могут посещать выставки бесплатно.,Museum workers can go to the exhibitions for free.,_,свободное время
музей,959,museum,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,музее,Loc.Sing,В этом музее есть скелет синего кита.,There is a skeleton of a blue whale in this museum.,_,свободное время
