Lemma;ID;Eng Gloss;POS;Level;Word source;Ex. ID;Form ;Analysis;Example Sentence;Translation;Reference;Topic(s)
год;1;_;N.Masc.Inan;A1;Golosa, MiP, LM, МН;1;лет;Gen.Plur;_;_;_;мера, время
год;2;_;N.Masc.Inan;A1;Golosa, MiP, LM, МН;2;года;Gen.Sing;_;_;_;мера, время
год;3;_;N.Masc.Inan;A1;Golosa, MiP, LM, МН;3;году;Loc.Sing;_;_;_;мера, время
человек;4;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;1;люди;Nom.Plur;_;_;_;люди
человек;5;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;2;человек;Nom.Sing;_;_;_;люди
человек;6;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;3;человека;Gen.Sing;_;_;_;люди
брать;7;_;V;A1;Golosa, MiP, LM, МН, Поехали;1;брать;Inf;_;_;_;общение, магазин
брать;8;_;V;A1;Golosa, MiP, LM, МН, Поехали;2;берёт;Sing.3.Pres/Fut;_;_;_;общение, магазин
брать;9;_;V;A1;Golosa, MiP, LM, МН, Поехали;3;брали;Plur.Past;_;_;_;общение, магазин
взять;10;_;V;A1;LM, МН, Поехали;1;взять;Inf;_;_;_;общение, магазин
взять;11;_;V;A1;LM, МН, Поехали;2;взял;Masc.Sing.Past;_;_;_;общение, магазин
взять;12;_;V;A1;LM, МН, Поехали;3;взяли;Plur.Past;_;_;_;общение, магазин
время;13;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;1;время;Acc.Sing;_;_;_;время
время;14;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;2;времени;Gen.Sing;_;_;_;время
время;15;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;3;временем;Ins.Sing;_;_;_;время
вопрос;16;_;N.Masc.Inan;A1;Golosa, MiP, МН, Поехали;1;вопрос;Nom.Sing;_;_;_;люди
вопрос;17;_;N.Masc.Inan;A1;Golosa, MiP, МН, Поехали;2;вопросы;Acc.Plur;_;_;_;люди
вопрос;18;_;N.Masc.Inan;A1;Golosa, MiP, МН, Поехали;3;вопросов;Gen.Plur;_;_;_;люди
раз;19;_;N.Masc.Inan;A1;LM, МН;1;раз;Acc.Sing;_;_;_;мера, время
раз;20;_;N.Masc.Inan;A1;LM, МН;2;раза;Gen.Sing;_;_;_;мера, время
раз;21;_;N.Masc.Inan;A1;LM, МН;3;разу;Gen.Sing;_;_;_;мера, время
жизнь;22;_;N.Fem.Inan;A1;MiP, LM, МН;1;жизни;Gen.Sing;_;_;_;время, люди
жизнь;23;_;N.Fem.Inan;A1;MiP, LM, МН;2;жизнь;Acc.Sing;_;_;_;время, люди
жизнь;24;_;N.Fem.Inan;A1;MiP, LM, МН;3;жизнью;Ins.Sing;_;_;_;время, люди
работа;25;_;N.Fem.Inan;A1;Golosa, MiP, LM, МН;1;работы;Gen.Sing;_;_;_;учеба/работа
работа;26;_;N.Fem.Inan;A1;Golosa, MiP, LM, МН;2;работу;Acc.Sing;_;_;_;учеба/работа
работа;27;_;N.Fem.Inan;A1;Golosa, MiP, LM, МН;3;работа;Nom.Sing;_;_;_;учеба/работа
видеть;28;_;V;A1;Golosa, MiP, LM, МН, Поехали;1;видел;Masc.Sing.Past;_;_;_;внутренний мир
видеть;29;_;V;A1;Golosa, MiP, LM, МН, Поехали;2;вижу;Sing.1.Pres/Fut;_;_;_;внутренний мир
видеть;30;_;V;A1;Golosa, MiP, LM, МН, Поехали;3;видеть;Inf;_;_;_;внутренний мир
день;31;_;N.Masc.Inan;A1;MiP, LM, МН;1;день;Acc.Sing;_;_;_;мера, время
день;32;_;N.Masc.Inan;A1;MiP, LM, МН;2;дня;Gen.Sing;_;_;_;мера, время
день;33;_;N.Masc.Inan;A1;MiP, LM, МН;3;дней;Gen.Plur;_;_;_;мера, время
ребенок;34;_;N.Masc.Anim;A1;LM, МН;1;детей;Gen.Plur;_;_;_;люди, здоровье
ребенок;35;_;N.Masc.Anim;A1;LM, МН;2;дети;Nom.Plur;_;_;_;люди, здоровье
ребенок;36;_;N.Masc.Anim;A1;LM, МН;3;ребёнка;Gen.Sing;_;_;_;люди, здоровье
страна;37;_;N.Fem.Inan;A1;Golosa, MiP, МН;1;страны;Gen.Sing;_;_;_;люди, путешествие
страна;38;_;N.Fem.Inan;A1;Golosa, MiP, МН;2;стране;Loc.Sing;_;_;_;люди, путешествие
страна;39;_;N.Fem.Inan;A1;Golosa, MiP, МН;3;стран;Gen.Plur;_;_;_;люди, путешествие
другой;40;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;1;других;Acc.Plur;_;_;_;_
другой;41;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;2;другому;Dat.Sing;_;_;_;_
другой;42;_;A;A1;Golosa, MiP, LM, МН;3;другом;Loc.Masc.Sing;_;_;_;_
мир;43;_;N.Masc.Inan;A1;LM, МН;1;мира;Gen.Sing;_;_;_;люди, путешествие
мир;44;_;N.Masc.Inan;A1;LM, МН;2;мире;Loc.Sing;_;_;_;люди, путешествие
мир;45;_;N.Masc.Inan;A1;LM, МН;3;мир;Nom.Sing;_;_;_;люди, путешествие
новый;46;_;A;A1;Golosa, MiP, LM, МН;1;новых;Gen.Plur;_;_;_;время
новый;47;_;A;A1;Golosa, MiP, LM, МН;2;новые;Nom.Plur;_;_;_;время
новый;48;_;A;A1;Golosa, MiP, LM, МН;3;новый;Nom.Masc.Sing;_;_;_;время
место;49;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;1;место;Acc.Sing;_;_;_;путешествие
место;50;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;2;месте;Loc.Sing;_;_;_;путешествие
место;51;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;3;места;Gen.Sing;_;_;_;путешествие
рука;52;_;N.Fem.Inan;A1;MiP, LM, МН, Кс;1;руку;Acc.Sing;_;_;_;люди, здоровье
рука;53;_;N.Fem.Inan;A1;MiP, LM, МН, Кс;2;руки;Acc.Plur;_;_;_;люди, здоровье
рука;54;_;N.Fem.Inan;A1;MiP, LM, МН, Кс;3;руках;Loc.Plur;_;_;_;люди, здоровье
встречать;55;_;V;A1;MiP, LM, МН;1;встречать;Inf;_;_;_;люди, общение
встречать;56;_;V;A1;MiP, LM, МН;2;встречал;Masc.Sing.Past;_;_;_;люди, общение
встречать;57;_;V;A1;MiP, LM, МН;3;встречали;Plur.Past;_;_;_;люди, общение
хороший;58;_;A;A1;Golosa, MiP, LM, МН;1;лучше;Comp;_;_;_;описание
хороший;59;_;A;A1;Golosa, MiP, LM, МН;2;хорошо;Neut.Sing;_;_;_;описание
хороший;60;_;A;A1;Golosa, MiP, LM, МН;3;хороший;Nom.Masc.Sing;_;_;_;описание
слово;61;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;1;слово;Nom.Sing;_;_;_;люди
слово;62;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;2;слова;Gen.Sing;_;_;_;люди
слово;63;_;N.Neut.Inan;A1;Golosa, MiP, LM, МН;3;слов;Gen.Plur;_;_;_;люди
дом;64;_;N.Masc.Inan;A1;Golosa, MiP, LM, МН;1;дома;Gen.Sing;_;_;_;люди, жилье
дом;65;_;N.Masc.Inan;A1;Golosa, MiP, LM, МН;2;доме;Loc.Sing;_;_;_;люди, жилье
дом;66;_;N.Masc.Inan;A1;Golosa, MiP, LM, МН;3;дом;Nom.Sing;_;_;_;люди, жилье
школа;67;_;N.Fem.Inan;A1;Golosa, MiP, LM, МН;1;школе;Loc.Sing;_;_;_;люди, учеба/работа
школа;68;_;N.Fem.Inan;A1;Golosa, MiP, LM, МН;2;школу;Acc.Sing;_;_;_;люди, учеба/работа
школа;69;_;N.Fem.Inan;A1;Golosa, MiP, LM, МН;3;школы;Gen.Sing;_;_;_;люди, учеба/работа
женщина;70;_;N.Fem.Anim;A1;Golosa, MiP, LM, МН;1;женщина;Nom.Sing;_;_;_;люди
женщина;71;_;N.Fem.Anim;A1;Golosa, MiP, LM, МН;2;женщины;Nom.Plur;_;_;_;люди
женщина;72;_;N.Fem.Anim;A1;Golosa, MiP, LM, МН;3;женщин;Gen.Plur;_;_;_;люди
нужный;73;_;A;A1;МН;1;нужно;Neut.Sing;_;_;_;внутренний мир, учеба/работа
нужный;74;_;A;A1;МН;2;нужна;Fem.Sing;_;_;_;внутренний мир, учеба/работа
нужный;75;_;A;A1;МН;3;нужны;Plur;_;_;_;внутренний мир, учеба/работа
проблема;76;_;N.Fem.Inan;A1;MiP, LM, МН;1;проблема;Nom.Sing;_;_;_;люди, здоровье
проблема;77;_;N.Fem.Inan;A1;MiP, LM, МН;2;проблем;Gen.Plur;_;_;_;люди, здоровье
проблема;78;_;N.Fem.Inan;A1;MiP, LM, МН;3;проблемы;Nom.Plur;_;_;_;люди, здоровье
друг;79;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;1;друг;Nom.Sing;_;_;_;люди
друг;80;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;2;друзья;Nom.Plur;_;_;_;люди
друг;81;_;N.Masc.Anim;A1;Golosa, MiP, LM, МН;3;друзей;Gen.Plur;_;_;_;люди
лицо;82;_;N.Neut.Inan;A1;МН;1;лицо;Acc.Sing;_;_;_;люди, здоровье, учеба/работа
